t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1759950478.901755,0.079834707,1759950478.8434343,cpsl_uav_1/base_link,1759950478,843434341,12.660672402618296,23.101482605065993,0.8922099985429772,0.0,0.0,0.0,1.0
1759950478.9825187,0.16059857700000002,1759950478.9123468,cpsl_uav_1/base_link,1759950478,912346883,12.74440783825975,23.281884350918343,0.8911801668403296,0.0,0.0,0.0,1.0
1759950479.0743244,0.25240426,1759950479.0131226,cpsl_uav_1/base_link,1759950479,13122449,12.828473248333173,23.462997002054195,0.8901462769020199,0.0,0.0,0.0,1.0
1759950479.2536614,0.43174122200000004,1759950479.115135,cpsl_uav_1/base_link,1759950479,115134928,12.912538658406596,23.644109653190046,0.8891123869637101,0.0,0.0,0.0,1.0
1759950479.302458,0.48053778500000005,1759950479.2547946,cpsl_uav_1/base_link,1759950479,254794668,12.99660406848002,23.825222304325898,0.8880784970254003,0.0,0.0,0.0,1.0
1759950479.359635,0.537714997,1759950479.3116493,cpsl_uav_1/base_link,1759950479,311649308,13.081341628236187,24.00778305178217,0.8870363405623283,0.0,0.0,0.0,1.0
1759950479.5046563,0.682736055,1759950479.4115298,cpsl_uav_1/base_link,1759950479,411529697,1.473359968757638,0.26724907182788016,1.0270953532856866,0.0,0.0,0.0,1.0
1759950479.604592,0.78267186,1759950479.5115225,cpsl_uav_1/base_link,1759950479,511522499,1.4987273425092504,0.015273668135295737,0.9898256767707152,0.0,0.0,0.0,1.0
1759950479.791662,0.969741688,1759950479.611557,cpsl_uav_1/base_link,1759950479,611557122,1.4986420995422904,0.015127284700428581,0.9898256912697846,0.0,0.0,0.0,1.0
1759950479.865351,1.0434309270000002,1759950479.7924776,cpsl_uav_1/base_link,1759950479,792477531,1.4985568565753304,0.014980901265561425,0.989825705768854,0.0,0.0,0.0,1.0
1759950479.9196162,1.097696037,1759950479.8669198,cpsl_uav_1/base_link,1759950479,866919652,1.498386494631045,0.014688347316953985,0.9898257347459033,0.0,0.0,0.0,1.0
1759950479.9864686,1.164548227,1759950479.92503,cpsl_uav_1/base_link,1759950479,925029985,1.855584891158048,-0.6862926016047641,0.5220873624474314,0.0,0.0,0.0,1.0
1759950480.2017603,1.379840106,1759950480.0133708,cpsl_uav_1/base_link,1759950480,13370828,1.9499356158182257,-0.8719008621866088,0.39837821339695845,0.0,0.0,0.0,1.0
1759950480.2630286,1.4411085240000001,1759950480.2024093,cpsl_uav_1/base_link,1759950480,202409204,2.0442863404784037,-1.0575091227684534,0.2746690643464855,0.0,0.0,0.0,1.0
1759950480.3250117,1.5030917890000002,1759950480.2663655,cpsl_uav_1/base_link,1759950480,266365640,2.169736192974579,-1.3042960870014013,0.1101838994820411,0.0,0.0,0.0,1.0
1759950480.395289,1.573368879,1759950480.3265762,cpsl_uav_1/base_link,1759950480,326576234,2.3257064454545904,-1.6111232721617985,-0.09431847483446842,0.0,0.0,0.0,1.0
1759950480.4865363,1.6646161540000002,1759950480.4114437,cpsl_uav_1/base_link,1759950480,411443676,2.5129195892244565,-1.9794119747481997,-0.3397853622404644,0.0,0.0,0.0,1.0
1759950480.7424257,1.920505488,1759950480.5122716,cpsl_uav_1/base_link,1759950480,512271752,2.731321257399692,-2.409055243352453,-0.6261454789059555,0.0,0.0,0.0,1.0
1759950480.828694,2.0067739280000003,1759950480.743591,cpsl_uav_1/base_link,1759950480,743591023,2.9497229255749278,-2.838698511956706,-0.9125055955714466,0.0,0.0,0.0,1.0
1759950480.8895583,2.067638182,1759950480.829646,cpsl_uav_1/base_link,1759950480,829646044,3.2002725601873063,-3.331583776349891,-1.241016926082576,0.0,0.0,0.0,1.0
1759950480.9821053,2.1601849690000003,1759950480.9114993,cpsl_uav_1/base_link,1759950480,911499231,3.5751281226402076,-4.069005658024931,-1.7325135501403799,0.0,0.0,0.0,1.0
1759950481.0924962,2.270576078,1759950481.0124507,cpsl_uav_1/base_link,1759950481,12450674,1.9786213971416742,-0.7600785213812351,0.4225677698495519,0.0,0.0,0.0,1.0
1759950481.2850046,2.4630844840000004,1759950481.112833,cpsl_uav_1/base_link,1759950481,112832939,1.9728048826166353,-0.7482298608505422,0.43034341217769434,0.0,0.0,0.0,1.0
1759950481.3565478,2.534627785,1759950481.2860274,cpsl_uav_1/base_link,1759950481,286027549,1.9707396818260954,-0.7440228975584388,0.4331042172292261,0.0,0.0,0.0,1.0
1759950481.4182987,2.596378581,1759950481.3580706,cpsl_uav_1/base_link,1759950481,358070563,1.9707362121206164,-0.7418701433762869,0.4338969888603046,0.0,0.0,0.0,1.0
1759950481.4854853,2.6635653610000003,1759950481.4209995,cpsl_uav_1/base_link,1759950481,420999483,1.9707292134564005,-0.7375278717476892,0.4354960705344363,0.0,0.0,0.0,1.0
1759950481.6001048,2.778184566,1759950481.5115983,cpsl_uav_1/base_link,1759950481,511598400,1.9707116488633913,-0.7266300444570212,0.43950929619116186,0.0,0.0,0.0,1.0
1759950481.7747018,2.9527817,1759950481.6116374,cpsl_uav_1/base_link,1759950481,611637243,1.97069052673738,-0.7135249710195791,0.4443353606487489,0.0,0.0,0.0,1.0
1759950481.858327,3.036406749,1759950481.7761493,cpsl_uav_1/base_link,1759950481,776149163,1.9706694046113686,-0.7004198975821371,0.44916142510633594,0.0,0.0,0.0,1.0
1759950481.9240127,3.102092443,1759950481.8606138,cpsl_uav_1/base_link,1759950481,860613731,1.9706447924910113,-0.6851494818787053,0.4547848968732593,0.0,0.0,0.0,1.0
1759950481.9979322,3.176011942,1759950481.9260166,cpsl_uav_1/base_link,1759950481,926016501,1.9706166882789447,-0.6677124226149663,0.46120625516318237,0.0,0.0,0.0,1.0
