t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,vector.x,vector.y,vector.z
1759950515.003825,36.181904865,1759950515.0009248,vicon/world,1759950515,924812,-0.0050866954635779005,-0.0004675826975658708,0.0
1759950515.1036632,36.281742961,1759950515.1007757,vicon/world,1759950515,100775737,-0.01508925374825064,-0.0013003597212332624,0.0
1759950515.2013087,36.379388661,1759950515.2009506,vicon/world,1759950515,200950516,-0.029837234101938188,-0.0012953499715016668,0.0
1759950515.3019562,36.480036153,1759950515.301382,vicon/world,1759950515,301381979,-0.04949728460370605,-0.0028446823496793665,0.0
1759950515.40212,36.58019981,1759950515.4017198,vicon/world,1759950515,401719823,-0.06954401625784072,-0.0018735615453407066,0.0
1759950515.5013208,36.679400752,1759950515.5003564,vicon/world,1759950515,500356357,-0.08925142807390922,-0.002363887649271751,0.0
1759950515.6002033,36.778283157000004,1759950515.5998333,vicon/world,1759950515,599833228,-0.10675391728347222,-0.005287821603852727,0.0
1759950515.7025137,36.880593654,1759950515.6997259,vicon/world,1759950515,699725802,-0.12672957436909427,-0.0048024101777885166,0.0
1759950515.804674,36.982753824,1759950515.8001435,vicon/world,1759950515,800143445,-0.146766546190299,-0.006047318530203038,0.0
1759950515.9001331,37.078213168000005,1759950515.8996394,vicon/world,1759950515,899639356,-0.16576932681251375,-0.007348693202558099,0.0
1759950516.0000863,37.178166108,1759950515.9996917,vicon/world,1759950515,999691809,-0.1857424859993536,-0.008599817312993356,0.0
1759950516.1019251,37.280005020000004,1759950516.100335,vicon/world,1759950516,100334784,-0.20137474477952802,-0.012264088957068108,0.0
1759950516.2022142,37.380293980000005,1759950516.2006662,vicon/world,1759950516,200666203,-0.2146723429996089,-0.018302749703147974,0.0
1759950516.3001099,37.478189859000004,1759950516.299721,vicon/world,1759950516,299720904,-0.22299685822868037,-0.024961180200691283,0.0
1759950516.4015236,37.579603286,1759950516.4007008,vicon/world,1759950516,400700769,-0.22843641776723553,-0.035808603428699265,0.0
1759950516.5075758,37.685655503,1759950516.4996808,vicon/world,1759950516,499680780,-0.23032927419198623,-0.04998019286165731,0.0
1759950516.600339,37.778418854,1759950516.599843,vicon/world,1759950516,599842998,-0.22862575135312985,-0.06776692445353229,0.0
1759950516.7013223,37.87940211,1759950516.700725,vicon/world,1759950516,700725075,-0.23059190482958358,-0.08217204308598114,0.0
1759950516.8004498,37.978529643,1759950516.8000448,vicon/world,1759950516,800044680,-0.2290721325843716,-0.09987139967600597,0.0
1759950516.9008048,38.078884549,1759950516.899891,vicon/world,1759950516,899890793,-0.22529388024265928,-0.11947543314214629,0.0
1759950517.004024,38.18210388,1759950516.99985,vicon/world,1759950516,999850049,-0.21684944110425478,-0.13731124736955796,0.0
1759950517.1008768,38.278956758,1759950517.100068,vicon/world,1759950517,100068021,-0.20785026156721859,-0.15521408595504627,0.0
1759950517.2023714,38.380451246,1759950517.2011502,vicon/world,1759950517,201150139,-0.20380109709075284,-0.17239395479896438,0.0
1759950517.3066142,38.48469389,1759950517.3010058,vicon/world,1759950517,301005918,-0.20247013274019557,-0.18513296460975476,0.0
1759950517.4033284,38.581408233000005,1759950517.4014475,vicon/world,1759950517,401447631,-0.2055179727799356,-0.19546696302775832,0.0
1759950517.5021255,38.680205258,1759950517.501648,vicon/world,1759950517,501647902,-0.21272501638210087,-0.2029754252267099,0.0
1759950517.602688,38.780768024000004,1759950517.602259,vicon/world,1759950517,602259015,-0.22451218286819874,-0.2082902770048009,0.0
1759950517.7077003,38.885780111,1759950517.701064,vicon/world,1759950517,701064079,-0.23134495439668118,-0.21234024815498842,0.0
1759950517.8001914,38.978271279000005,1759950517.799759,vicon/world,1759950517,799758901,-0.23849213563816993,-0.21521196205771465,0.0
1759950517.9012115,39.079291393000005,1759950517.8997774,vicon/world,1759950517,899777358,-0.25065490715707206,-0.21722770215741646,0.0
1759950518.0043662,39.182446141,1759950518.0038457,vicon/world,1759950518,3845635,-0.2663793094995995,-0.21734240217531273,0.0
1759950518.1001396,39.278219478000004,1759950518.0998182,vicon/world,1759950518,99818327,-0.28456995183754263,-0.21879265489023728,0.0
1759950518.2021515,39.380231325000004,1759950518.199883,vicon/world,1759950518,199883024,-0.30308293644162104,-0.2185664216809822,0.0
1759950518.303705,39.481784774000005,1759950518.3015857,vicon/world,1759950518,301585575,-0.3219343578240117,-0.21822530878872093,0.0
