t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1759950478.821994,7.3818e-05,1759950478.7871747,vicon/world,1759950478,787174752,vicon/x500_4/x500_4,1.9198307877425278,0.3687851750926991,0.7906439875672874,-0.004157281946208344,-0.005493352594704566,-0.8657411806000002,0.5004445506721079
1759950478.828059,0.006138834,1759950478.7973897,vicon/world,1759950478,797389664,vicon/x500_4/x500_4,1.918804053971212,0.3686375460387341,0.7915009537491684,-0.002027216541147827,-0.006722767682985627,-0.8659893764609018,0.5000130944731691
1759950478.842815,0.020894672000000003,1759950478.8091173,vicon/world,1759950478,809117327,vicon/x500_4/x500_4,1.9180016116099028,0.36858463646685136,0.7922762691927073,0.003614503073830768,0.005490728582955395,0.8664140334556384,-0.49928299580327135
1759950478.84938,0.027459860000000003,1759950478.8176782,vicon/world,1759950478,817678280,vicon/x500_4/x500_4,1.917382667783055,0.3681708151334892,0.7928948181038666,0.0027290825700307447,0.0064613995522577235,0.8663865028912712,-0.49932477410197207
1759950478.8619106,0.039990476000000004,1759950478.828114,vicon/world,1759950478,828114040,vicon/x500_4/x500_4,1.9166436112755714,0.36776138779623874,0.7936783367699752,0.0021296007564859435,0.007649728964436114,0.8669002356261379,-0.49841842654413904
1759950478.8701637,0.048243382,1759950478.837687,vicon/world,1759950478,837687008,vicon/x500_4/x500_4,1.9157587589699028,0.367717913546728,0.7944843227337072,0.002362322842932885,0.008130767480526638,0.866551764254152,-0.49901538044330856
1759950478.879757,0.057836761,1759950478.8475673,vicon/world,1759950478,847567279,vicon/x500_4/x500_4,1.9150569239950967,0.3674664708247161,0.7952312374621063,0.0026534700476373474,0.008199075610697694,0.8669824388573467,-0.4982641718695048
1759950478.8885977,0.06667745900000001,1759950478.857557,vicon/world,1759950478,857557013,vicon/x500_4/x500_4,1.9144110494247464,0.36706571097796803,0.7959319038767582,0.0007656769900326249,0.007982923392083882,0.8673054343516561,-0.4977117340559175
1759950478.9024656,0.080545583,1759950478.8674273,vicon/world,1759950478,867427393,vicon/x500_4/x500_4,1.9137854090214748,0.36668890586978764,0.7967665792315957,6.768122247642548e-05,0.008714831230881195,0.8673268736087691,-0.49766267837955
1759950478.9083393,0.086419166,1759950478.8776867,vicon/world,1759950478,877686794,vicon/x500_4/x500_4,1.9130260620875197,0.3665209454650347,0.797724837824878,0.0020868862564697188,0.00830711009723368,0.8686469390852121,-0.49535757998185204
1759950478.9197013,0.09778118200000001,1759950478.8876123,vicon/world,1759950478,887612291,vicon/x500_4/x500_4,1.9126376614551222,0.36616860190252404,0.7983002140500377,0.002761994971480933,0.006966576416420119,0.8679218099767494,-0.49664430930344416
1759950478.9275699,0.10564952700000001,1759950478.8975697,vicon/world,1759950478,897569672,vicon/x500_4/x500_4,1.9119465865074001,0.36600751206765614,0.7989945394526053,0.0031145948239853366,0.0071227215578643106,0.8679545052310473,-0.49658286618229125
1759950478.9362051,0.11428505100000001,1759950478.907423,vicon/world,1759950478,907423005,vicon/x500_4/x500_4,1.911357761388416,0.3657349552619602,0.799632962925461,0.0036831538763062526,0.005738203085743098,0.8683185820732543,-0.4959600260395624
1759950478.9483898,0.12646969900000002,1759950478.9178975,vicon/world,1759950478,917897381,vicon/x500_4/x500_4,1.9106531195774754,0.365378356694475,0.8003821377666706,0.0031575586086889243,0.007401737897994621,0.868729823131771,-0.49522089869185054
1759950478.9606209,0.138700854,1759950478.9287367,vicon/world,1759950478,928736704,vicon/x500_4/x500_4,1.910166409319858,0.3647762323840869,0.800951008867622,0.0018438792091872288,0.008243988568159524,0.8688771481065295,-0.4949556932294184
1759950478.9687545,0.14683427000000002,1759950478.9388237,vicon/world,1759950478,938823690,vicon/x500_4/x500_4,1.909392582558045,0.36461563358395216,0.8016480951052966,0.0028414877767622077,0.007173551243876755,0.8696358063887928,-0.49363349800867456
1759950478.9776816,0.155761325,1759950478.9482358,vicon/world,1759950478,948235719,vicon/x500_4/x500_4,1.9087879891953823,0.36439279462715185,0.8024047142037524,0.0033271993013802652,0.008474480749104736,0.8689566145458131,-0.4948045219659188
1759950478.9890726,0.167152245,1759950478.9596038,vicon/world,1759950478,959603841,vicon/x500_4/x500_4,1.9081294045059332,0.36385055173461683,0.8030411615269574,0.003918900792525864,0.005626461345059492,0.869830742926005,-0.4933026087606928
1759950479.001247,0.17932677800000002,1759950478.9706562,vicon/world,1759950478,970656246,vicon/x500_4/x500_4,1.907485946735221,0.3636443522465023,0.8037805648144631,0.002955236177673491,0.006928051929605442,0.8698221161576059,-0.493307971675605
1759950479.0144453,0.192525263,1759950478.9823418,vicon/world,1759950478,982341729,vicon/x500_4/x500_4,1.9069176549647766,0.3633503674023569,0.8044054469451021,0.004569481151542364,0.004672158997117538,0.8701333849360888,-0.4927729529833956
1759950479.0200458,0.19812543400000002,1759950478.9894693,vicon/world,1759950478,989469272,vicon/x500_4/x500_4,1.9062853445507106,0.3630269838291397,0.8049872138541061,0.004994786761771259,0.003546092407899077,0.8697952201268929,-0.49337485989686275
1759950479.027093,0.20517263800000002,1759950478.9988563,vicon/world,1759950478,998856379,vicon/x500_4/x500_4,1.9055177779354924,0.3627907931072977,0.8055995567118884,0.004829557295826909,0.0032602811554583873,0.869882690659691,-0.4932242395034635
