t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w,roll_deg,pitch_deg,yaw_deg
1760387117.3548567,0.0,1760387113.502202,vicon/world,1760387113,502202053,vicon/x500_7/x500_7,0.1121320242035097,-0.2430165147214058,0.924302736220438,-0.0024183447285192,-0.013515445247975,0.0291727059451579,0.9994800836316652,-0.3222773252703205,-1.5400517587172062,3.348066995834017
1760387117.3723788,0.01752207,1760387113.5061798,vicon/world,1760387113,506179761,vicon/x500_7/x500_7,0.1120788076131738,-0.2430740016415997,0.9243365140315556,-0.002353931100585,-0.013600423789752,0.0288963950160686,0.9994871113907312,-0.31475390325880986,-1.5500889850291841,3.3163175178887374
1760387117.3992376,0.044380984,1760387113.5168767,vicon/world,1760387113,516876675,vicon/x500_7/x500_7,0.1119825937555974,-0.2430605389694755,0.924337398176726,-0.002526723484026,-0.0146842462624756,0.0273302933567383,0.9995154044061416,-0.33553445349418576,-1.6742002382430483,3.1374613489369367
1760387117.4166608,0.061804098,1760387113.526812,vicon/world,1760387113,526812157,vicon/x500_7/x500_7,0.1120731001996991,-0.2431949741780856,0.924418350066068,-0.0022673911361272,-0.0130479597998286,0.0291752560901234,0.9994865752548024,-0.3034165185814312,-1.4870048884561398,3.3479434375339623
1760387117.4398794,0.085022925,1760387113.5369809,vicon/world,1760387113,536980888,vicon/x500_7/x500_7,0.1122682472349078,-0.2432852110832791,0.9244665331832184,-0.0019063599684022,-0.0122762361409365,0.0301346407943866,0.9994686404495522,-0.2608073867117819,-1.3995617279761305,3.45715048269122
1760387117.4631696,0.108312942,1760387113.5467453,vicon/world,1760387113,546745199,vicon/x500_7/x500_7,0.1123071699229886,-0.2434055089063307,0.924544612985575,-0.0016065689237337,-0.0114858889759925,0.0296137552340304,0.999494131444334,-0.2230421904246464,-1.3101824170394352,3.396761190320246
1760387117.48254,0.127683448,1760387113.556823,vicon/world,1760387113,556823094,vicon/x500_7/x500_7,0.1123149750154683,-0.2435052041330492,0.9246295995940218,-0.0012032291045288,-0.0119062608604811,0.0301022454500359,0.9994751862907404,-0.1789284128476105,-1.3596180638206388,3.452354603238483
1760387117.501561,0.146704257,1760387113.5668936,vicon/world,1760387113,566893549,vicon/x500_7/x500_7,0.1122779042940191,-0.2435560283165015,0.92470013721237,-0.0015900658011035,-0.0114775083627706,0.0300627965491466,0.9994808486190097,-0.22171131270875333,-1.3091790074222807,3.4482263408048004
1760387117.5295472,0.174690481,1760387113.5768864,vicon/world,1760387113,576886495,vicon/x500_7/x500_7,0.1119042780143567,-0.2436600740433503,0.924817890410102,-0.0012321920520742,-0.0126859996234095,0.0295503593725866,0.9994820275408922,-0.18414247416811072,-1.4489374506032262,3.3893184607109905
1760387117.5599236,0.205066846,1760387113.5888703,vicon/world,1760387113,588870436,vicon/x500_7/x500_7,0.111924740674748,-0.243713408218338,0.9248130926106504,-0.000613791266002,-0.0126779407543348,0.0286645008031594,0.9995084989494673,-0.11198002388830884,-1.4502096642907865,3.286841788846164
1760387117.5776782,0.222821385,1760387113.5976186,vicon/world,1760387113,597618637,vicon/x500_7/x500_7,0.111906813176915,-0.2437839193175391,0.9248542280639968,-0.0008021649450024,-0.0122019624694546,0.0291842691012325,0.9994992481639604,-0.13272142453413627,-1.3949968928679588,3.346611763932606
1760387117.5961156,0.241258967,1760387113.606912,vicon/world,1760387113,606911890,vicon/x500_7/x500_7,0.1119488173160228,-0.2438568021338616,0.9248618192345098,-0.0006016383565898,-0.0123084948109218,0.029791664737775,0.9994801627340733,-0.11096004251163331,-1.4078041384193296,3.416001123750229
1760387117.6152442,0.260387461,1760387113.6167552,vicon/world,1760387113,616755253,vicon/x500_7/x500_7,0.1119279314468458,-0.2439243555288814,0.924873172342525,-0.0004140296347947,-0.0119238065937412,0.029560186715593,0.9994917942520168,-0.08783520851102367,-1.3643996772466696,3.389128482806434
1760387117.6340318,0.279175077,1760387113.6269631,vicon/world,1760387113,626963168,vicon/x500_7/x500_7,0.1119479360737299,-0.243945267809748,0.924876174854075,-0.0001956301016954,-0.0117683336295834,0.0296502334652365,0.999491036331944,-0.062408287710592765,-1.34732481573018,3.399133788598552
1760387117.6538804,0.299023672,1760387113.6369703,vicon/world,1760387113,636970560,vicon/x500_7/x500_7,0.1119622864824292,-0.2439546420772114,0.9248989299075528,-0.0005165787927234,-0.0114107131499438,0.0300598068406872,0.9994828346622372,-0.09849590408242238,-1.305228660568863,3.44646587095102
1760387117.6827075,0.327850909,1760387113.6469316,vicon/world,1760387113,646931765,vicon/x500_7/x500_7,0.1119339893980613,-0.2439939045797606,0.9249051627009942,-0.0001800994829981,-0.0117056402874344,0.0301982064143447,0.9994753693208224,-0.06115068676093099,-1.3401628184374152,3.4619381852097653
1760387117.704193,0.349336535,1760387113.6568449,vicon/world,1760387113,656844838,vicon/x500_7/x500_7,0.1119378932365547,-0.2440140586343134,0.9249053551613948,-0.0001259108382421,-0.0112234313185585,0.0301980285217134,0.9994809141796056,-0.053272238309314456,-1.285114934196361,3.4617808798087517
1760387117.720822,0.365965222,1760387113.6670332,vicon/world,1760387113,667033294,vicon/x500_7/x500_7,0.1118991764751823,-0.2440119587086072,0.924929120828004,5.5899741544349086e-05,-0.0108834160303145,0.0301090055883691,0.999487366560083,-0.03115539734433369,-1.2467995455641891,3.4513028576709117
