time,x,y,z,qx,qy,qz,qw
1750186410.4119318,2.2617121318039857,0.01785942771589624,0.7696468467264606,0.0,0.0,0.0,1.0
1750186410.4120386,2.3122923982700754,0.00733405323684147,0.7968796364668824,0.0,0.0,0.0,1.0
1750186410.4681466,2.282497539868355,0.014446447136752586,0.7694710192836961,0.0,0.0,0.0,1.0
1750186410.5661812,2.3029424903273252,-0.0042070320947888845,0.7831415615401874,0.0,0.0,0.0,1.0
1750186410.7207632,2.2908825287159864,-0.005997787980930044,0.759540439329812,0.0,0.0,0.0,1.0
1750186410.7729883,2.3276746203406695,-0.007709290941744003,0.7801815620914841,0.0,0.0,0.0,1.0
1750186410.8658087,2.346247738749694,0.007487445837539634,0.7881209630604058,0.0,0.0,0.0,1.0
1750186410.966275,2.3513599413258075,-0.0006613376280972527,0.7804253030577938,0.0,0.0,0.0,1.0
1750186411.0669992,2.352918673222483,-0.01285464248252918,0.7769645804732267,0.0,0.0,0.0,1.0
1750186411.2167122,2.3536633725489806,-0.024891212968063743,0.775207745918259,0.0,0.0,0.0,1.0
1750186411.2572474,2.353635903602799,-0.030927047340780174,0.774322134833946,0.0,0.0,0.0,1.0
1750186411.360993,2.3752224313026225,-0.014083989035665899,0.7913401178212124,0.0,0.0,0.0,1.0
1750186411.4625065,2.3601991933251814,-0.01035527067543757,0.791809936857732,0.0,0.0,0.0,1.0
1750186411.5642388,2.370864122643022,0.002856270784346509,0.7917197759823295,0.0,0.0,0.0,1.0
1750186411.7183256,2.3678746466349,-0.008072584897227387,0.7804109588218788,0.0,0.0,0.0,1.0
1750186411.7561996,2.3799875279572484,0.00016127545170467085,0.7940931157085497,0.0,0.0,0.0,1.0
1750186411.8665857,2.388071161101407,-0.013412603405145954,0.7866588760448651,0.0,0.0,0.0,1.0
1750186411.9764166,2.394022609607459,0.0017661120081201506,0.7879710222891148,0.0,0.0,0.0,1.0
1750186412.066677,2.416937781568889,-0.00928885151214034,0.7823825929590374,0.0,0.0,0.0,1.0
1750186412.2329738,2.4137786420315583,-0.009182404002539663,0.6554528933256487,0.0,0.0,0.0,1.0
1750186412.2622247,2.411637283566437,-0.009087357339499742,0.5888984323863263,0.0,0.0,0.0,1.0
