time,vx,vy,vz,wx,wy,wz
1750186410.4120069,-0.029705167652716465,-0.003906454689373502,-0.008441332521119099,0.0,0.0,0.0
1750186410.4120522,0.013432014840623275,-0.011344975494825318,0.013632640624381541,0.0,0.0,0.0
1750186410.468201,-0.011486995833419455,-0.004144210553926968,-0.009487029326166813,0.0,0.0,0.0
1750186410.5662446,0.00598188936064133,-0.01783729288755067,0.002470847339724927,0.0,0.0,0.0
1750186410.720835,-0.004224846423192452,-0.01646373336773068,-0.016078599187658003,0.0,0.0,0.0
1750186410.7730522,0.02473548043211917,-0.015256142391767103,0.002270857030656423,0.0,0.0,0.0
1750186410.8658667,0.03523454199089438,-0.0011830576111496755,0.008041323623309395,0.0,0.0,0.0
1750186410.9663281,0.03373779906449176,-0.0072862056844145,0.0008634662539414237,0.0,0.0,0.0
1750186411.0670512,0.02973058507272094,-0.015568792380561483,-0.0019399898825688037,0.0,0.0,0.0
1750186411.2167845,0.025724129820062416,-0.022453579550183383,-0.002996095775916221,0.0,0.0,0.0
1750186411.2573075,0.02174755073053229,-0.023654821118310652,-0.003218234006459766,0.0,0.0,0.0
1750186411.361037,0.03504967123649714,-0.006995106561377782,0.010416905116702527,0.0,0.0,0.0
1750186411.4625442,0.018030518782589138,-0.0030344672693039107,0.009169206938874443,0.0,0.0,0.0
1750186411.5642655,0.02347976833383374,0.007631503274085871,0.007684487879310086,0.0,0.0,0.0
1750186411.7183719,0.01755048420783958,-0.001980058571384383,-0.0022284803025218345,0.0,0.0,0.0
1750186411.7562501,0.024191773741333397,0.004678474795080802,0.008672309031522964,0.0,0.0,0.0
1750186411.866613,0.02669107709922718,-0.006527515286354799,0.0015895617667886748,0.0,0.0,0.0
1750186411.976461,0.02716351731270887,0.006198449922888432,0.0023570470360251986,0.0,0.0,0.0
1750186412.0667138,0.04065703411209754,-0.0032922264012122254,-0.002320720793616669,0.0,0.0,0.0
1750186412.2330077,0.03193038307081968,-0.002700903978486162,-0.09996247213463419,0.0,0.0,0.0
1750186412.262235,0.025073818888636676,-0.0021880282640761545,-0.13560109567051268,0.0,0.0,0.0
1750186412.3636532,0.017458042893915744,-0.006957870399456098,-0.05033466401513205,0.0,0.0,0.0
1750186412.4626865,0.07231836346299922,-0.00705726339999103,-0.025941750601618938,0.0,0.0,0.0
1750186412.617337,0.058671271844055795,-0.007436934718672742,-0.08099628116529586,0.0,0.0,0.0
1750186412.6608949,0.09706413297874975,-0.010373290906273813,-0.02913938351477166,0.0,0.0,0.0
1750186412.7662597,0.05616946614804617,-0.011071126534819,-0.07665672765270806,0.0,0.0,0.0
1750186412.864733,0.0860960848392791,-0.010069792070472483,-0.022215489609475628,0.0,0.0,0.0
1750186412.9672472,0.02227066222879827,-0.0054148264956926625,0.01993784097638185,0.0,0.0,0.0
1750186413.1253567,0.0166286228763022,-0.007215348134983673,-0.0675057138289626,0.0,0.0,0.0
1750186413.1556103,0.013276045714465777,-0.008597304448229082,-0.10400153242759053,0.0,0.0,0.0
1750186413.26497,0.00890161160891475,-0.012102951089873073,-0.1269475697337089,0.0,0.0,0.0
1750186413.3663206,0.0033662217596552276,-0.010118609165041856,-0.12229292254916797,0.0,0.0,0.0
1750186413.4707978,-0.0008913932943947411,-0.00858334302624159,-0.12484157308716955,0.0,0.0,0.0
1750186413.6173236,0.00641046173927519,-0.009677135937962739,-0.13688165472032646,0.0,0.0,0.0
1750186413.657826,0.0002626711675694825,-0.013622121439237054,-0.11760961375110615,0.0,0.0,0.0
1750186413.7714815,-0.015706637313673107,-0.012615242014154898,-0.1037492539428452,0.0,0.0,0.0
1750186413.8605058,-0.008756283165626905,-0.012950985737432306,-0.0980159785343822,0.0,0.0,0.0
1750186413.9642653,-0.016468841570771695,-0.018369259309081107,-0.09717259514984396,0.0,0.0,0.0
1750186414.1195397,-0.011445986598338046,-0.01769370338691075,-0.09040092192888853,0.0,0.0,0.0
1750186414.156572,-0.011115932236205186,-0.019404872297458797,-0.09352247780853234,0.0,0.0,0.0
1750186414.2689466,-0.013669535248396921,-0.017088191161490178,-0.09869075151918509,0.0,0.0,0.0
1750186414.3709252,-0.01671472763798604,-0.020118686390195248,-0.09143755666111753,0.0,0.0,0.0
1750186414.520253,-0.01983335953371849,-0.02252759705470151,-0.09720245883692483,0.0,0.0,0.0
1750186414.5556107,-0.017765425615738864,-0.023832439946229456,-0.09424092145317278,0.0,0.0,0.0
1750186414.666694,-0.011047351005270302,-0.02305106173796698,-0.10033470354084842,0.0,0.0,0.0
1750186414.7650466,-0.014366463406551852,-0.021714182835258,-0.10291651354149008,0.0,0.0,0.0
1750186414.861444,-0.012773274977695145,-0.01810045704938236,-0.09449380074784536,0.0,0.0,0.0
1750186415.0152223,-0.009632753096277896,-0.01759847087503691,-0.08580910023191576,0.0,0.0,0.0
1750186415.0647986,-0.014750648069997003,-0.016290343517718887,-0.0633258426860285,0.0,0.0,0.0
1750186415.164585,-0.0029512353286930797,-0.018068989664160845,-0.049613134337357374,0.0,0.0,0.0
1750186415.270728,-0.012740363146685323,-0.01672221298897974,-0.033256424718223446,0.0,0.0,0.0
1750186415.3637066,-0.020595706773841378,-0.016420877239062735,-0.028200549728036903,0.0,0.0,0.0
1750186415.5512466,-0.016672010178314666,-0.017531972014444324,-0.03626632600616833,0.0,0.0,0.0
1750186415.5784516,-0.012901825001332209,-0.016108797572135534,-0.036121150095514136,0.0,0.0,0.0
1750186415.6815217,-0.007336583430171689,-0.014947046598402729,-0.05186007972529531,0.0,0.0,0.0
1750186415.7658355,-0.012773699062813108,-0.015739529991856183,-0.06320852607632499,0.0,0.0,0.0
1750186415.8674402,-0.014028596487167786,-0.014856150421925608,-0.07440949760441115,0.0,0.0,0.0
1750186416.020939,-0.016917796161757585,-0.014943439158678897,-0.08508675975084068,0.0,0.0,0.0
1750186416.060192,-0.015559029812678737,-0.01590070852606247,-0.0848149077327404,0.0,0.0,0.0
1750186416.1630826,-0.012153325862615943,-0.017298983726142105,-0.07833832696411737,0.0,0.0,0.0
1750186416.2693758,-0.014314102814651185,-0.015378800008899827,-0.06395709276118818,0.0,0.0,0.0
1750186416.4346762,-0.012736672248160491,-0.021919558829197154,-0.04384213226102017,0.0,0.0,0.0
1750186416.4614792,-0.01084875550215316,-0.022910712979821366,-0.03061584179082308,0.0,0.0,0.0
1750186416.56137,-0.013678311347796766,-0.023128027303150292,-0.020859561081065185,0.0,0.0,0.0
1750186416.6679683,-0.009160816906318725,-0.024296725161804145,-0.01606601635249036,0.0,0.0,0.0
1750186416.7753034,-0.00637382733220535,-0.02319863683797226,-0.008806967182757355,0.0,0.0,0.0
1750186416.9295466,-0.007581449304990621,-0.024874767341107346,-0.0038386084653688774,0.0,0.0,0.0
1750186416.9691753,-0.007474874628941109,-0.023490755651296512,-0.0012600645319699876,0.0,0.0,0.0
1750186417.0683618,-0.010652000281647417,-0.02175501753201967,-0.0003572663968390749,0.0,0.0,0.0
1750186417.1702418,-0.0078055075309343535,-0.020393368035694866,0.008055600791079441,0.0,0.0,0.0
1750186417.2622051,-0.010244245067089186,-0.025236117224875117,0.012614899963778063,0.0,0.0,0.0
1750186417.4241557,0.0016508477991778459,-0.028222820809919894,0.019400442115462324,0.0,0.0,0.0
1750186417.4544382,0.0009732906675984255,-0.031837332740293225,0.018252642650306877,0.0,0.0,0.0
1750186417.5716944,0.0010096415171729392,-0.031023546442703245,0.020984099307671374,0.0,0.0,0.0
1750186417.6682863,-0.0017431359351015535,-0.028050788121969792,0.021703844960954184,0.0,0.0,0.0
1750186417.7691689,0.0050381243009502774,-0.026322084054855362,0.025088163622635586,0.0,0.0,0.0
1750186417.9382472,0.0020622097102702317,-0.023576236675034192,0.02676118727270696,0.0,0.0,0.0
1750186417.9642727,0.0004814563196742876,-0.020044007135764624,0.024978472797556737,0.0,0.0,0.0
1750186418.0625577,-0.00392735653393266,-0.024207264391894648,0.03397057104882492,0.0,0.0,0.0
1750186418.1628993,-0.00236675571757177,-0.025020350728378382,0.040290188408976864,0.0,0.0,0.0
1750186418.322911,-0.004390634397562167,-0.023374251819867964,0.048200168190659996,0.0,0.0,0.0
1750186418.3548179,0.007575834770201053,-0.02417184416003504,0.04339232730851059,0.0,0.0,0.0
1750186418.4673448,0.0020623627604413634,-0.02129372593553737,0.03976410586511244,0.0,0.0,0.0
1750186418.5706282,0.007447745480155031,-0.02362503652496868,0.04720190494069546,0.0,0.0,0.0
1750186418.6687458,-0.0008547559663633405,-0.02330259241881366,0.04355581352621348,0.0,0.0,0.0
1750186418.8220325,0.005191723708223989,-0.028066780276285265,0.04075212200158141,0.0,0.0,0.0
1750186418.877371,0.0024543339876207135,-0.02697963629164572,0.04636422997293395,0.0,0.0,0.0
1750186418.9705327,-0.003248461467712335,-0.026383914107842014,0.030273633284299235,0.0,0.0,0.0
1750186419.0579054,-0.007709758115556967,-0.026907492858409408,0.03067282282208398,0.0,0.0,0.0
1750186419.174219,-0.00019826624682131762,-0.026130258947257193,0.01751165829764081,0.0,0.0,0.0
1750186419.3263803,-0.0034172166955310146,-0.024852238090947828,0.0023872948862018514,0.0,0.0,0.0
1750186419.3550928,-0.0035418937889205005,-0.02394034928051543,-0.004042898030198761,0.0,0.0,0.0
1750186419.4675274,0.0006101535752023857,-0.0279359812215326,-0.013655840980370499,0.0,0.0,0.0
1750186419.5627592,-0.0002601612083906169,-0.02795964443320514,-0.0070702356805128425,0.0,0.0,0.0
1750186419.6584606,0.003957939147790161,-0.028331047135396657,-0.010735168420166821,0.0,0.0,0.0
1750186419.8291602,0.005784173107272934,-0.02742329892621651,-0.012891444128948111,0.0,0.0,0.0
1750186419.8545542,0.006114946193539452,-0.024676303988985883,-0.012765286248328307,0.0,0.0,0.0
1750186419.960942,0.002668451072608872,-0.028420195327527462,-0.008309894495282587,0.0,0.0,0.0
1750186420.0631695,0.007931877327907936,-0.026039044516685265,-0.001955346669913689,0.0,0.0,0.0
1750186420.240454,0.015522779517159985,-0.031082419684019945,-0.004054312341648106,0.0,0.0,0.0
1750186420.2675385,0.017553697102112097,-0.030388480619895006,-0.004639287707868503,0.0,0.0,0.0
1750186420.3635414,0.008783060404050773,-0.04421408276644382,-0.004280515161617345,0.0,0.0,0.0
1750186420.4655745,0.00135604724415761,-0.05479338496367149,-0.0014855880897438477,0.0,0.0,0.0
1750186420.5681732,-0.0036735464205800194,-0.06558345141714016,-0.008833846194146887,0.0,0.0,0.0
1750186420.7268097,0.002349641432465607,-0.07514571772858876,-0.005234929091706444,0.0,0.0,0.0
1750186420.7549253,0.010544131800059264,-0.08342951747567291,-0.00795116632453136,0.0,0.0,0.0
1750186420.8682642,0.006198721587205117,-0.09333055848973955,-0.007404095605689218,0.0,0.0,0.0
1750186420.9679396,0.011907909907034431,-0.10083926273390516,-0.006578723400792699,0.0,0.0,0.0
1750186421.0663855,0.018480033315496355,-0.10901250688112786,-0.010726813649482253,0.0,0.0,0.0
1750186421.2262132,0.01815418676406729,-0.1254735164881079,-0.010918604947798782,0.0,0.0,0.0
1750186421.2553189,0.015280753173649011,-0.13616624333626254,-0.015623023678966943,0.0,0.0,0.0
1750186421.3738408,0.022026990964253323,-0.14668246393139323,-0.005935881565626891,0.0,0.0,0.0
1750186421.4640098,0.02035947164094457,-0.1624907607470609,-0.014917844579788439,0.0,0.0,0.0
1750186421.5743358,0.020791636046944215,-0.1680232019826428,-0.005092919466116282,0.0,0.0,0.0
1750186421.716878,0.021404186415341073,-0.17910938566907894,-0.014243222003127923,0.0,0.0,0.0
1750186421.7660089,0.020701771968672043,-0.18763098075361034,-0.01123016493241437,0.0,0.0,0.0
1750186421.8638268,0.021421975289873434,-0.1972140761922708,-0.0030904848266183893,0.0,0.0,0.0
1750186421.967483,0.025212212532918707,-0.20576755464842217,-0.014177875621784823,0.0,0.0,0.0
1750186422.122945,0.02390167169308061,-0.20997999172359633,-0.004090171913105251,0.0,0.0,0.0
1750186422.1572733,0.028332481160904928,-0.2186012122746669,-0.0007972776764103898,0.0,0.0,0.0
1750186422.2591197,0.024419690652397776,-0.2260450817334072,-0.00018289691726786192,0.0,0.0,0.0
1750186422.361702,0.03636726993268424,-0.22654683373380402,-0.00031529673726466085,0.0,0.0,0.0
1750186422.463508,0.04050052915564072,-0.23338057933567458,-0.005352730751534366,0.0,0.0,0.0
1750186422.6516986,0.04270904603940162,-0.24305909938263257,-0.0015104106182839269,0.0,0.0,0.0
1750186422.6805365,0.03898431347765187,-0.22045410423634096,0.0005303226406308866,0.0,0.0,0.0
1750186422.7680035,0.04138431218432837,-0.23236824956250912,0.0016042194843822908,0.0,0.0,0.0
1750186422.8611789,0.04200650873414945,-0.2323226461874569,-0.009640834476683357,0.0,0.0,0.0
1750186422.966634,0.042458059824524316,-0.21928442560106343,-0.0066447479760503095,0.0,0.0,0.0
1750186423.139339,0.042389411148255875,-0.2130943670439123,-0.014629041451980377,0.0,0.0,0.0
1750186423.1848884,0.038186805856491625,-0.18922055465567497,-0.016942304598436885,0.0,0.0,0.0
1750186423.266849,0.04308880163667619,-0.17337229747430422,-0.01968032465974935,0.0,0.0,0.0
1750186423.378246,0.04242820270067097,-0.15493444503030576,-0.018070370770739422,0.0,0.0,0.0
1750186423.4696836,0.04490353676648939,-0.14190953828175615,-0.020788664066985357,0.0,0.0,0.0
