t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1756170606.2731988,1.371621972,1756170606.0921977,vicon/world,1756170606,92197596,-21341.069462065738,1477.46491290317,-395.2208935636354,0.0,0.0,0.0,1.0
1756170606.390145,1.488568061,1756170606.2744348,vicon/world,1756170606,274434765,-21363.17523452496,1477.5399771604089,-395.0985077013099,0.0,0.0,0.0,1.0
1756170606.4894567,1.5878796970000002,1756170606.3887036,vicon/world,1756170606,388703656,-21384.996601882824,1482.5071456505834,-392.76533714446856,0.0,0.0,0.0,1.0
1756170606.5478096,1.6462326840000001,1756170606.4894135,vicon/world,1756170606,489413506,-21406.95362950226,1483.0212512611688,-400.32050743470904,0.0,0.0,0.0,1.0
1756170606.7282183,1.8266411990000002,1756170606.548961,vicon/world,1756170606,548960875,-21428.896030438664,1487.4184933363965,-394.57172920148,0.0,0.0,0.0,1.0
1756170606.8155804,1.914003361,1756170606.7308772,vicon/world,1756170606,730877228,-21451.16952924437,1485.6558755104966,-395.039795085951,0.0,0.0,0.0,1.0
1756170606.8913863,1.9898092010000001,1756170606.8173478,vicon/world,1756170606,817347722,-21473.236841496982,1486.8167816053588,-396.23989782732997,0.0,0.0,0.0,1.0
1756170606.9629693,2.061392263,1756170606.892889,vicon/world,1756170606,892888970,-21495.13293408241,1490.8057636068397,-396.58029648742473,0.0,0.0,0.0,1.0
1756170607.044096,2.1425191050000003,1756170606.991962,vicon/world,1756170606,991961903,-21517.252414611354,1491.2319832300436,-398.76532350032653,0.0,0.0,0.0,1.0
1756170607.2519119,2.35033467,1756170607.095093,vicon/world,1756170607,95093071,-21539.343517031324,1492.9191837360918,-398.4019425269688,0.0,0.0,0.0,1.0
1756170607.377081,2.475503874,1756170607.2533312,vicon/world,1756170607,253331188,-21561.62414196623,1492.5426703573114,-396.4657427716204,0.0,0.0,0.0,1.0
1756170607.4407043,2.5391274210000003,1756170607.3786511,vicon/world,1756170607,378651048,-21583.72090290555,1493.5969849700548,-399.87899855171645,0.0,0.0,0.0,1.0
1756170607.5144808,2.612903644,1756170607.4427674,vicon/world,1756170607,442767413,-21605.693847294362,1498.1986294449127,-397.1222456762064,0.0,0.0,0.0,1.0
1756170607.5674047,2.665827568,1756170607.514752,vicon/world,1756170607,514751869,-21627.950251230133,1498.785148225839,-394.4635889417371,0.0,0.0,0.0,1.0
1756170607.7578573,2.856280285,1756170607.5929477,vicon/world,1756170607,592947718,-21650.019131100355,1499.3134468663914,-402.66727682786626,0.0,0.0,0.0,1.0
1756170607.818067,2.9164899560000004,1756170607.7584407,vicon/world,1756170607,758440776,-21672.21757702983,1500.916942415395,-400.8542197315055,0.0,0.0,0.0,1.0
1756170607.8967838,2.995206709,1756170607.819778,vicon/world,1756170607,819778072,-21694.268211969928,1503.73303999117,-402.85225007287687,0.0,0.0,0.0,1.0
1756170607.9741154,3.0725383180000003,1756170607.9004755,vicon/world,1756170607,900475544,-21716.561128339457,1504.4669412609012,-400.0428366281543,0.0,0.0,0.0,1.0
1756170608.1580846,3.256507683,1756170607.9920237,vicon/world,1756170607,992023782,-21738.674402732428,1507.3943355675724,-399.28534169935205,0.0,0.0,0.0,1.0
1756170608.2376137,3.336036624,1756170608.158495,vicon/world,1756170608,158494990,-21760.880832991363,1508.9347110645297,-399.69483910229104,0.0,0.0,0.0,1.0
1756170608.3031132,3.401536295,1756170608.2362301,vicon/world,1756170608,236230127,-21783.203839650047,1508.526685222555,-401.5639607089183,0.0,0.0,0.0,1.0
