t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1756170606.2731588,1.3715817270000001,1756170606.0921977,cpsl_uav_1/base_link,1756170606,92197596,-1019.2442074463604,-21358.848272632087,-735.620402150387,0.0,0.0,0.0,1.0
1756170606.3899899,1.488412692,1756170606.2744348,cpsl_uav_1/base_link,1756170606,274434765,-1020.2981538958603,-21380.862350751937,-736.3791573999225,0.0,0.0,0.0,1.0
1756170606.48926,1.5876829430000001,1756170606.3887036,cpsl_uav_1/base_link,1756170606,388703656,-1021.3527125628663,-21402.8892164323,-737.1383533959938,0.0,0.0,0.0,1.0
1756170606.5470402,1.6454630890000002,1756170606.4894135,cpsl_uav_1/base_link,1756170606,489413506,-1022.4078108022146,-21424.92735231307,-737.8979378400243,0.0,0.0,0.0,1.0
1756170606.7262127,1.824635795,1756170606.548961,cpsl_uav_1/base_link,1756170606,548960875,-1023.4632280780165,-21446.972151998638,-738.6577519642099,0.0,0.0,0.0,1.0
1756170606.8144634,1.9128863130000002,1756170606.7308772,cpsl_uav_1/base_link,1756170606,730877228,-1024.5196200055802,-21469.037309511717,-739.4182677579547,0.0,0.0,0.0,1.0
1756170606.8908904,1.989313372,1756170606.8173478,cpsl_uav_1/base_link,1756170606,817347722,-1025.5764752154048,-21491.112143732647,-740.1791170770391,0.0,0.0,0.0,1.0
1756170606.9590979,2.0575209560000003,1756170606.892889,cpsl_uav_1/base_link,1756170606,892888970,-1026.633735151958,-21513.19543159544,-740.9402577662687,0.0,0.0,0.0,1.0
1756170607.0440533,2.1424763390000003,1756170606.991962,cpsl_uav_1/base_link,1756170606,991961903,-1027.691525890757,-21535.28980647513,-741.701780589705,0.0,0.0,0.0,1.0
1756170607.251465,2.3498881490000003,1756170607.095093,cpsl_uav_1/base_link,1756170607,95093071,-1028.7498691745743,-21557.39572251918,-742.463701200366,0.0,0.0,0.0,1.0
1756170607.3766756,2.47509874,1756170607.2533312,cpsl_uav_1/base_link,1756170607,253331188,-1029.8090602494613,-21579.51934661552,-743.2262321512629,0.0,0.0,0.0,1.0
